Property_Type,BHK,Location,Area,Status,Furnishing,Facing,Transaction,Price_Per_Sqft,Current_Floor,Total_Floors,Total_Price
Flat,4,Kondapur,2306,Poss. by Mar '27,Unfurnished,East,New Property,8500,29,47,19601000
Flat,3,Patancheruvu,1655,Ready to Move,Unfurnished,East,New Property,5500,5,10,9102500
Flat,3,Jubilee Hills,1850,Ready to Move,Unfurnished,North,New Property,9302,18,23,17208700
Flat,3,Kokapet,1128,Ready to Move,Unfurnished,East,New Property,12000,20,40,13536000
Flat,3,Miyapur,1494,Ready to Move,Unfurnished,East,New Property,4999,4,5,7468506
Flat,4,Hitech City,3090,Ready to Move,Semi-Furnished,West,Resale,16181,16,18,49999290
Flat,2,Tellapur,1350,Ready to Move,Unfurnished,West,New Property,7274,6,9,9819900
Flat,2,Gachibowli,1115,Ready to Move,Semi-Furnished,East,Resale,11749,15,17,13100135
Flat,3,Osman Nagar,1600,Poss. by Jan '30,Unfurnished,East,New Property,7200,5,13,11520000
Villa,4,Kompally,3800,Poss. by Dec '28,Unfurnished,East,New Property,7996,,,30384800
Flat,3,Manikonda Jagir,2081,Ready to Move,Unfurnished,Unknown,New Property,10956,,,22799436
Flat,3,Nalagandla,2878,Poss. by Aug '28,Unfurnished,Unknown,New Property,11002,,,31663756
Flat,4,Kokapet,3465,Poss. by Dec '28,Unfurnished,Unknown,New Property,11106,,,38482290
Flat,3,Kollur,2100,Poss. by Dec '26,Unfurnished,Unknown,New Property,6999,,,14697900
Flat,3,Nizampet,1565,Poss. by Dec '26,Semi-Furnished,Unknown,New Property,6800,,,10642000
Villa,4,Gagillapur,4566,Ready to Move,Unfurnished,Unknown,New Property,7200,,,32875200
Flat,3,Nalagandla,1690,Poss. by Aug '28,Unfurnished,Unknown,New Property,8477,,,14326130
Flat,3,Kollur,2314,Poss. by Jan '33,Unfurnished,Unknown,New Property,7519,,,17398966
Flat,3,Patancheruvu,1972,Poss. by Dec '26,Unfurnished,Unknown,New Property,5375,,,10599500
Villa,4,Kandi,2400,Poss. by Oct '26,Unfurnished,East,New Property,5500,,,13200000
Flat,3,Kompally,1430,Ready to Move,Unfurnished,East,New Property,6500,5,12,9295000
Flat,3,Lingampally,1719,Poss. by Dec '26,Unfurnished,West,New Property,8199,28,28,14094081
Flat,4,Gachibowli,6666,Ready to Move,Semi-Furnished,East,New Property,18002,10,30,120001332
Flat,3,Miyapur,2300,Poss. by Dec '30,Unfurnished,West,New Property,8019,20,52,18443700
Villa,3,Nagarjuna Sagar Road,2200,Ready to Move,Unfurnished,East,New Property,5500,,,12100000
Villa,4,Shamirpet,3140,Poss. by Sep '27,Semi-Furnished,West,New Property,9381,,,29456340
Flat,3,Nalagandla,1600,Poss. by Dec '26,Unfurnished,East,New Property,7199,4,6,11518400
Flat,3,Agricultural Research Institute Quarters,2785,Poss. by Jul '30,Unfurnished,Unknown,New Property,7999,1,1,22277215
Flat,3,Gopanpally,1719,Ready to Move,Unfurnished,Unknown,New Property,8399,28,28,14437881
Apartment,3,Brahman Wadi Begumpet,1920,Poss. by Dec '28,Unfurnished,East,New Property,8999,2,12,17278080
Apartment,2,Gundlapochampally,841,Ready to Move,Unfurnished,West,New Property,5999,1,1,5045159
Apartment,3,Manikonda Jagir,2120,Poss. by Dec '27,Unfurnished,Unknown,New Property,10896,,,23099520
Villa,4,Medchal,5327,Poss. by Dec '26,Unfurnished,Unknown,New Property,11376,,,60599952
Apartment,4,Kukatpally,3805,Poss. by May '30,Unfurnished,Unknown,New Property,8599,,,32719195
Apartment,3,Kokapet,2909,Poss. by Aug '30,Unfurnished,Unknown,New Property,10000,,,29090000
Apartment,3,Isnapur,1155,Poss. by Jul '30,Unfurnished,Unknown,New Property,4599,,,5311845
Apartment,3,Satamrai,3260,Poss. by Dec '27,Unfurnished,Unknown,New Property,5577,,,18181020
Apartment,4,Rajendranagar Mandal,3431,Poss. by Oct '28,Unfurnished,Unknown,New Property,8598,,,29499738
Apartment,4,Nanakaramguda,5992,Poss. by Dec '29,Unfurnished,Unknown,New Property,10999,,,65906008
Apartment,3,Sainikpuri,2140,Ready to Move,Unfurnished,Unknown,New Property,7363,,,15756820
Apartment,3,Saidabad,1702,Ready to Move,Unfurnished,Unknown,New Property,6900,,,11743800
Apartment,3,Nalagandla,2119,Poss. by Dec '28,Unfurnished,Unknown,New Property,8164,,,17299516
Apartment,3,Kokapet,2350,Poss. by Mar '28,Unfurnished,Unknown,New Property,9490,,,22301500
Apartment,3,Patancheruvu,1550,Ready to Move,Unfurnished,Unknown,New Property,5200,,,8060000
Apartment,3,Pragathi Nagar,1960,Ready to Move,Unfurnished,Unknown,New Property,5800,,,11368000
Apartment,2,Kollur,1400,Poss. by Aug '26,Unfurnished,Unknown,New Property,6666,,,9332400
Apartment,3,Gajularamaram,1308,Poss. by Jun '27,Unfurnished,Unknown,New Property,5650,,,7390200
Villa,5,Attapur,6093,Poss. by Dec '26,Unfurnished,Unknown,New Property,12500,,,76162500
Apartment,3,Gandi Maisamma,1720,Poss. by Dec '26,Unfurnished,Unknown,New Property,5399,,,9286280
Apartment,3,Tellapur,2555,Poss. by Aug '30,Unfurnished,Unknown,New Property,7499,,,19159945
Apartment,3,Dulapally,2235,Poss. by Mar '28,Unfurnished,Unknown,New Property,6199,,,13854765
Apartment,3,Neknampur,2215,Ready to Move,Unfurnished,Unknown,New Property,8835,,,19569525
